value/v_loss,value/v_mean,value/v_max,value/v_min,critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/mse,step
0.005347386933863163,0.10817220062017441,0.20302358269691467,-0.026170313358306885,0.9814780354499817,-0.0700768232345581,0.08217084407806396,-0.16376394033432007,0.6665186882019043,0.2008500099182129,0
0.2136894166469574,-28.62235450744629,-0.7588670253753662,-37.56960678100586,0.8554409742355347,-29.23050308227539,0.203762024641037,-38.142189025878906,58.60651397705078,0.03142784163355827,10000
0.2530535161495209,-29.639373779296875,2.172523021697998,-46.475948333740234,0.9587132930755615,-30.391246795654297,1.1061744689941406,-46.41092300415039,47.72325134277344,0.029580337926745415,20000
0.29160529375076294,-31.008811950683594,-0.18407870829105377,-46.71465301513672,0.8302396535873413,-31.42847442626953,-0.1355053335428238,-47.015167236328125,54.52265167236328,0.02315552905201912,30000
0.3759893774986267,-30.154193878173828,1.5916200876235962,-46.86619567871094,0.6807534098625183,-30.945858001708984,0.6188855171203613,-47.189090728759766,26.69095230102539,0.02377719059586525,40000
0.815817654132843,-31.083236694335938,0.6542679667472839,-47.503055572509766,0.9539468288421631,-31.721975326538086,0.3318772614002228,-48.0444450378418,43.874420166015625,0.022303244099020958,50000
0.3249819874763489,-32.48773956298828,0.6111971735954285,-47.36780548095703,0.6370529532432556,-32.715152740478516,0.29873478412628174,-47.39305114746094,61.64280700683594,0.03395784646272659,60000
0.5601781010627747,-31.440120697021484,0.8395633697509766,-47.50224304199219,1.0629527568817139,-31.891048431396484,0.4015222191810608,-48.011619567871094,79.11552429199219,0.03182772919535637,70000
0.27361416816711426,-31.418880462646484,0.621692955493927,-47.972412109375,0.594027042388916,-31.97628402709961,0.24754182994365692,-48.30055618286133,32.321292877197266,0.03768142685294151,80000
0.6756061315536499,-32.77171325683594,0.07145356386899948,-47.89753723144531,0.5449576377868652,-33.621299743652344,0.23321214318275452,-48.53449630737305,29.00564193725586,0.035649631172418594,90000
0.5287656784057617,-32.2583122253418,0.5859453082084656,-48.14508819580078,0.6263587474822998,-33.23532485961914,0.5771471261978149,-48.4666862487793,20.318513870239258,0.032695721834897995,100000
0.6976256370544434,-32.55319595336914,0.5129824876785278,-47.585445404052734,1.3345613479614258,-33.37733459472656,0.40395742654800415,-47.98054504394531,43.7918701171875,0.03483528643846512,110000
