critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,step
0.9933404922485352,-0.07934412360191345,0.009290870279073715,-0.15172439813613892,2.5621747970581055,0.3338993787765503,7.446561336517334,-5.218286037445068,0.7446561455726624,9.105207443237305,0.9997000694274902,0
0.9715023636817932,-39.83781814575195,-2.9738845825195312,-40.610687255859375,42.37807846069336,39.873390197753906,2.2446999549865723,0.2599884569644928,0.22446998953819275,0.30170246958732605,0.1304091364145279,10000
1.6046090126037598,-62.52655792236328,1.5727863311767578,-64.17143249511719,64.53095245361328,62.51337432861328,1.704880952835083,0.3126987814903259,0.17048808932304382,-0.0011881199898198247,0.08181903511285782,20000
1.1402688026428223,-74.98560333251953,-10.724004745483398,-78.58485412597656,76.84715270996094,74.86923217773438,1.6173858642578125,0.3605361580848694,0.1617385894060135,-0.013764968141913414,0.08565125614404678,30000
1.3647527694702148,-81.02177429199219,-5.7166748046875,-87.0281982421875,82.79681396484375,80.86148071289062,1.5766322612762451,0.358700692653656,0.1576632261276245,0.0020683244802057743,0.08733697235584259,40000
1.3706376552581787,-85.82682800292969,-32.52873992919922,-92.20683288574219,87.72183227539062,85.81898498535156,1.539432406425476,0.3634188175201416,0.1539432406425476,-0.004165093880146742,0.08819928765296936,50000
1.0249474048614502,-86.25848388671875,0.18059539794921875,-95.00580596923828,88.15599060058594,86.31848907470703,1.4858887195587158,0.35161465406417847,0.1485888659954071,-0.001713093020953238,0.08919620513916016,60000
1.3541499376296997,-87.50411987304688,0.107818603515625,-96.61272430419922,89.22545623779297,87.40159606933594,1.4700531959533691,0.35380297899246216,0.14700531959533691,0.003814460476860404,0.08995643258094788,70000
1.2253739833831787,-86.40483093261719,0.133087158203125,-97.67292022705078,88.12584686279297,86.23925018310547,1.565317988395691,0.3212791383266449,0.15653179585933685,0.004807150457054377,0.08959315717220306,80000
0.9634430408477783,-87.69979858398438,0.04093170166015625,-98.2655029296875,89.5535659790039,87.69532775878906,1.5028105974197388,0.35542744398117065,0.15028105676174164,0.019594859331846237,0.09016651660203934,90000
1.7115670442581177,-88.62200927734375,-2.0172119140625,-98.82987976074219,90.32343292236328,88.44390869140625,1.5624486207962036,0.31707751750946045,0.15624485909938812,0.03744565695524216,0.09017707407474518,100000
1.8919583559036255,-86.96192169189453,-1.1053619384765625,-99.205810546875,88.66507720947266,86.90687561035156,1.3822147846221924,0.3759835362434387,0.13822147250175476,0.006580723449587822,0.09017986804246902,110000
